id,category,failure,trigger,detection,impact,prevention,recovery,retry_policy,metric_alert,test_fixture,status,owner_module
Q006,quant,survivorship bias,only successful tokens stored,every screened token is stored including every rejection,filters cannot be evaluated because their rejects are invisible,rejects are the product; a screening row is written for every screened token,n/a,n/a,ratio screenings to candidates,tests/e2e/observe-cycle.test.ts,implemented,packages/storage/src/repo.ts
Q007,quant,label leakage,the outcome influences a feature,features are computed before the outcome exists,inflated backtest accuracy,decision-time snapshot separation,n/a,n/a,none,none,partial,packages/research/src/backtest-cli.ts
Q008,quant,future-universe leakage,the candidate set is chosen with hindsight,candidates are banked at discovery not selected later,the backtest trades tokens nobody could have known about,discovery order is preserved in the candidates table,n/a,n/a,none,tests/e2e/observe-cycle.test.ts,implemented,packages/pipeline/src/cycle.ts
Q009,quant,using revised metadata,provider back-fills a field after the fact,replay reconstructs the provider object from the snapshot not from a re-fetch,decisions evaluated against data that did not exist yet,createdAt is derived from the recorded age rather than re-fetched,n/a,n/a,none,tests/replay/determinism.test.ts,implemented,packages/research/src/replay.ts
Q010,quant,selection bias from a broken enrichment stub,test double returns an empty set,screening counts asserted against a positive lower bound,every assertion passes vacuously,tests assert that the thing under test actually ran,n/a,n/a,none,tests/e2e/observe-cycle.test.ts,implemented,tests/e2e/observe-cycle.test.ts
Q011,quant,censoring,positions still open at the end of the sample,not yet handled,truncated outcomes bias the return distribution,intended: report open positions separately from closed ones,n/a,n/a,none,none,designed_not_implemented,packages/research/src/report-cli.ts
Q012,quant,class imbalance,winners are rare,not yet handled,a model that predicts the majority class scores well and is useless,intended: report base rates alongside any accuracy figure,n/a,n/a,none,none,designed_not_implemented,packages/research/src/report-cli.ts
Q013,quant,overfitting to a small sample,tuning thresholds on the observed corpus,not yet controlled,thresholds that describe the past and not the future,intended: hold out a period and record every tuning decision in the multiple-testing ledger,n/a,n/a,none,none,designed_not_implemented,docs/MULTIPLE_TESTING_LEDGER.csv
Q014,quant,multiple testing,many thresholds tried until one works,every configuration change is logged with the sample it was chosen on,a spurious result reported as a finding,the multiple-testing ledger records every hypothesis tried,n/a,n/a,count of ledger rows,none,partial,docs/MULTIPLE_TESTING_LEDGER.csv
Q015,quant,autocorrelation,overlapping windows treated as independent,not yet handled,confidence intervals far too narrow,intended: block bootstrap over non-overlapping windows,n/a,n/a,none,none,designed_not_implemented,packages/research/src/backtest-cli.ts
Q016,quant,nonstationarity,the market regime changes,strategy_version scoping isolates each generation of the strategy,pooling incomparable periods,decisions are versioned and compared within a version,n/a,n/a,none,tests/replay/determinism.test.ts,partial,packages/research/src/replay.ts
Q017,quant,regime drift,the population that passes the gates changes over time,eligibility rate over time is recorded,the strategy quietly stops trading or starts trading something else,every screening is timestamped,n/a,n/a,rate eligible over screened,none,partial,packages/research/src/report-cli.ts
Q018,quant,feature drift,a provider field changes meaning or availability,absence rates are recorded per field as soft-risk reasons,a gate silently becomes a no-op,unavailability is an explicit named reason not a silent default,n/a,n/a,rate of each unavailable reason,none,implemented,packages/intelligence/src/gates.ts
Q019,quant,a scoring term that is structurally always zero,the term reads a field that is never populated in the traded window,measured directly against the corpus,a weighted term contributes nothing while appearing to,measurement before trust,n/a,n/a,none,none,partial,packages/strategy/src/score.ts
Q020,quant,train and test entity overlap,the same mint in both splits,not yet handled,leakage across splits,intended: split by mint and by creator,n/a,n/a,none,none,designed_not_implemented,packages/research/src/backtest-cli.ts
Q021,quant,creator cluster leakage across splits,the same creator in both splits,not yet handled,correlated outcomes counted as independent evidence,intended: group splits by creator cluster,n/a,n/a,none,none,designed_not_implemented,packages/research/src/backtest-cli.ts
Q022,quant,unrealistic fills,assuming the quoted price is achieved,paper mode simulates latency fees and failure,paper results that live can never reproduce,fills are simulated against a live executable quote,n/a,n/a,histogram simulated_slippage_bps,none,partial,apps/engine/src/paper.ts
Q023,quant,ignoring failed transactions,only counting fills,failed attempts are stored as first-class rows,cost understated and landing rate overstated,every attempt is recorded regardless of outcome,n/a,n/a,rate landed over attempted,tests/chaos/recovery.test.ts,implemented,packages/storage/src/repo.ts
Q024,quant,top-winner dependence,one outlier carries the result,not yet reported,a strategy that is one lucky trade,intended: report the result with the top winner removed,n/a,n/a,none,none,designed_not_implemented,packages/research/src/report-cli.ts
Q025,quant,benchmark neglect,no comparison to holding SOL,not yet reported,a positive number that underperforms doing nothing,intended: benchmark every period against SOL,n/a,n/a,none,none,designed_not_implemented,packages/research/src/report-cli.ts
Q026,quant,p-hacked time filters,hour-of-day rules fitted to the sample,ledger records any time filter as a hypothesis,a filter that describes noise,every time-based rule must be entered in the ledger before use,n/a,n/a,none,none,partial,docs/MULTIPLE_TESTING_LEDGER.csv
Q027,quant,a false property test that never terminates,a property that is not actually true,fast-check global interrupt limit with markInterruptAsFailure,the suite hangs and reports nothing about any other test,property search and shrink is bounded inside fast-check where the timer can fire,the run fails with a counterexample in seconds,n/a,none,tests/setup.ts,implemented,tests/setup.ts
Q028,quant,silent precision loss in a loss measure,integer truncation below the resolution floor,measured and documented on the function itself,a zero read as no change when a change occurred,the floor is documented and callers are told to compare bigints for equality,n/a,n/a,none,tests/property/amounts.property.test.ts,implemented,packages/domain/src/amounts.ts
O001,ops,process crash,unhandled exception,the process exits and the lock heartbeat stops,open positions unattended,state is durable in SQLite and reconstructed on restart,resolveOutstanding re-reads the chain on startup,operator restarts,gauge heartbeat_age_ms,tests/chaos/recovery.test.ts,implemented,packages/execution/src/machine.ts
O002,ops,unhandled promise rejection,an await without a catch,process exits non-zero,silent data loss,provider calls are wrapped and converted into typed failures,restart,n/a,none,none,partial,apps/collector/src/main.ts
O003,ops,memory leak,unbounded in-process accumulation,RSS growth over a long run,the host runs out of memory and unrelated processes die,the seen set is the only unbounded structure and is per-process,restart,n/a,gauge rss_bytes,none,partial,apps/collector/src/main.ts
O004,ops,event-loop stall,a long synchronous computation,observed directly during development when a property search blocked the loop for 98 seconds,timers never fire and every timeout guard becomes decorative,synchronous search is bounded inside the library that performs it,n/a,n/a,none,tests/setup.ts,implemented,tests/setup.ts
O005,ops,stale test processes exhaust host memory,overlapping runs never reaped,observed - five concurrent vitest processes left 0.22 GB free of 31 GB,the next run cannot complete and looks like a code failure,runs are executed to completion rather than abandoned,kill the stale processes,n/a,none,none,partial,vitest.config.ts
O006,ops,disk full,log and database growth,not detected,writes fail and the ledger is truncated mid-transaction,intended: doctor checks free space and refuses below a floor,n/a,n/a,none,none,designed_not_implemented,scripts/doctor.ts
O007,ops,SQLite corruption,unclean shutdown or hardware fault,integrity check at open,decisions written against a corrupt ledger,WAL journal mode,restore from backup,n/a,none,none,partial,packages/storage/src/db.ts
O008,ops,lock contention,two writers on one database,SQLite busy errors,writes lost or delayed,WAL mode plus a single writer process enforced by the process lock,retry,busy timeout,counter sqlite_busy,none,partial,packages/storage/src/db.ts
O009,ops,two executors on one database,operator starts a second engine,ProcessLock compares pid and heartbeat,duplicate positions and a corrupt ledger,acquisition refuses while another process is heartbeating,the second process exits,n/a,counter lock_refused,tests/e2e/observe-cycle.test.ts,implemented,packages/storage/src/db.ts
O010,ops,stale lock wedges the system,previous holder crashed,heartbeat age compared against the stale threshold,a crash becomes an outage,a lock whose holder stopped heartbeating is taken over,takeover,n/a,gauge lock_age_ms,tests/e2e/observe-cycle.test.ts,implemented,packages/storage/src/db.ts
O011,ops,in-process second lock masks the real test,testing exclusion with a second lock in the same process,the guard compares pids so an in-process lock is deliberately permitted,a cross-process test that proves nothing,the test writes a foreign pid row which is what another engine actually looks like,n/a,n/a,none,tests/e2e/observe-cycle.test.ts,implemented,tests/e2e/observe-cycle.test.ts
O012,ops,Windows sleep or hibernate,host suspends with a position open,not detected,the engine wakes with a stale view of the chain,intended: resume detection forcing full reconciliation before trading resumes,n/a,n/a,none,none,designed_not_implemented,scripts/doctor.ts
O013,ops,PC reboot,power loss or update,the lock heartbeat stops and the process is gone,open positions unattended until restart,all state is durable; nothing lives only in memory,reconciliation on startup,n/a,none,tests/chaos/recovery.test.ts,implemented,packages/storage/src/repo.ts
O014,ops,update during an open position,code changed while capital is at risk,strategy_version recorded on every decision,decisions before and after are silently pooled,version is part of every screening row,n/a,n/a,none,tests/replay/determinism.test.ts,implemented,packages/domain/src/config.ts
O015,ops,log explosion,per-token logging at scale,log volume,disk exhaustion and unreadable logs,structured logging at a level that is configurable,n/a,n/a,none,none,partial,packages/observability/src/log.ts
O016,ops,a bug in a test double read as a production defect,stub returns a shape the real client never returns,the real client signature was checked against the stub,time spent debugging code that was correct,test doubles are written against the real return type,fix the stub,n/a,none,tests/e2e/observe-cycle.test.ts,implemented,tests/e2e/observe-cycle.test.ts
O017,ops,backup failure,pre-migration copy is not a consistent WAL snapshot and its failure path is an empty catch,not detected,partial or total loss of the decision corpus,openDb copies the db file to <path>.bak on every non-readonly open,restore from .bak accepting loss of any transaction still in the WAL,n/a,none,none,partial,packages/storage/src/db.ts
O018,ops,antivirus quarantine,scanner locks or removes the database file,SQLite open failure,the engine cannot start or loses data,documented exclusion for the data directory,n/a,n/a,none,none,designed_not_implemented,docs/ENVIRONMENT.md
O019,ops,dashboard exposed to the network,a server bound to a public interface,no dashboard exists; the empty package and its script were removed,remote control of the trading process,there is no HTTP server in the tree,n/a,n/a,none,none,implemented,package.json
O020,ops,graceful shutdown failure,SIGINT during a write,transactional writes,a partially written decision,every multi-row write is a single SQLite transaction,restart re-reads a consistent ledger,n/a,none,none,partial,packages/storage/src/repo.ts
O021,ops,kill switch does not stop new entries,operator invokes kill and the engine keeps trading,kill writes a durable flag the engine reads,capital committed after an explicit stop,the flag is persisted rather than signalled in memory,n/a,n/a,none,none,partial,scripts/kill.ts
O022,ops,an inline environment assignment silently does nothing,MODE=paper prefixed to a package script under cmd.exe,observed - the script ran as observe and the entry point refused to start,running a mode nobody selected or refusing to start for no visible reason,the mode is passed as an explicit argument and parsed by modeFromArgv,n/a,n/a,none,none,implemented,packages/domain/src/config.ts
O023,ops,doctor validates the wrong mode,doctor loads the default config regardless of the mode about to be run,doctor takes no mode argument,preflight passes against observe limits before a live run,intended: doctor accepts the same mode argument the engine will use,n/a,n/a,none,none,designed_not_implemented,scripts/doctor.ts
O024,ops,reconcile runs without the process lock,operator reconciles while the engine is live,not detected,two writers mutating position state,intended: reconcile acquires the same engine lock,n/a,n/a,none,none,designed_not_implemented,apps/executor/src/reconcile-cli.ts
O025,ops,config declares one mode and the command line another,mismatched config file,loadConfig refuses a config whose declared mode differs from the requested one,running live with a canary's risk limits,the mismatch is a startup failure,process exits,n/a,none,none,implemented,packages/domain/src/config.ts
O026,ops,bigint silently narrowed by the database,SQLite INTEGER is 64-bit signed,amounts are persisted as TEXT and parsed back as bigint,a raw amount above 2^63 wraps negative,every token amount column is TEXT,n/a,n/a,none,tests/replay/determinism.test.ts,implemented,packages/storage/src/repo.ts
O027,ops,orphaned screening with no snapshot,snapshot write fails after the screening write,orphan count asserted to be zero after a full cycle,a decision that can never be re-derived,both rows are written in one transaction,n/a,n/a,gauge orphan_screenings,tests/e2e/observe-cycle.test.ts,implemented,packages/storage/src/repo.ts
S001,security,secret committed to the repository,a key pasted into a tracked file,secretscan over the working tree,total loss of funds,.env is git-ignored and doctor verifies that it is,rotate the key,n/a,none,none,implemented,scripts/secretscan.ts
S002,security,secret written to a log,logging an object containing a key,logger redaction and no secret is ever passed to a log call,key disclosure through log shipping or screenshots,secrets are read at startup and never placed on a logged object,rotate,n/a,none,none,partial,packages/observability/src/log.ts
S003,security,secret in shell history or process arguments,a key passed as a CLI flag,no secret is accepted as a command-line argument,disclosure through history files and the process table,secrets come only from the environment or a file,rotate,n/a,none,none,implemented,packages/domain/src/config.ts
S004,security,malicious dependency,a transitive package ships hostile code,lockfile pinning and a deliberately small dependency set,arbitrary code with access to the keypair,four runtime dependencies total and no install scripts from unknown publishers,remove and audit,n/a,none,none,partial,pnpm-lock.yaml
S005,security,typosquatted package,a near-miss package name,manual review of every added dependency,arbitrary code execution,dependencies are added deliberately and reviewed,remove,n/a,none,none,partial,package.json
S006,security,compromised package update,a trusted package is hijacked upstream,lockfile pins exact resolutions,arbitrary code execution on install,pnpm-lock.yaml is committed and installs are frozen,pin and audit,n/a,none,none,partial,pnpm-lock.yaml
S007,security,RPC response poisoning,a hostile or compromised endpoint returns crafted data,every decoded structure fails closed on anything unexpected,acting on fabricated chain state,decoders validate rather than trust; the signer never accepts provider-supplied bytes unchecked,refuse,n/a,counter mint_decode_error,tests/unit/mint-decode.test.ts,implemented,packages/solana/src/mint.ts
S008,security,arbitrary transaction signing,any path that signs bytes it did not verify,the signer evaluates policy binding and effect before every signature,total loss of funds,the signer refuses to sign anything that fails any of the three checks,refuse,n/a,counter signer_refusal,tests/unit/signer.test.ts,implemented,packages/execution/src/signer.ts
S009,security,keypair file tampered,secret and public halves disagree,the loader verifies the public half against the secret half,signing with a key that is not the one configured,verification at load,refuse to start,n/a,none,tests/unit/signer.test.ts,implemented,packages/execution/src/signer.ts
S010,security,keypair file wrong length,truncated or padded file,length is checked at load,undefined signing behaviour,exactly 64 bytes required,refuse to start,n/a,none,tests/unit/signer.test.ts,implemented,packages/execution/src/signer.ts
S011,security,signer available in a mode that must not trade,configuration or code change,signerAllowed is false for observe and paper by construction,an unattended mode taking a position,observe and paper never import the execution package,n/a,n/a,none,tests/e2e/observe-cycle.test.ts,implemented,packages/domain/src/config.ts
S012,security,capital-bearing tables written in observe mode,an accidental write path,intents execution_attempts positions and fills asserted empty after a full observe cycle,silent trading from a mode that promises not to,the assertion is made against the database not against the code path,n/a,n/a,none,tests/e2e/observe-cycle.test.ts,implemented,tests/e2e/observe-cycle.test.ts
S013,security,path traversal,a filename derived from external input,no external value is ever used to build a path,arbitrary file read or write,paths come from configuration only,n/a,n/a,none,none,implemented,packages/domain/src/config.ts
S014,security,SQL injection,external text interpolated into a statement,every statement is prepared with bound parameters,arbitrary database access,no string concatenation builds a query with external data,n/a,n/a,none,none,implemented,packages/storage/src/repo.ts
S015,security,shell injection,external text passed to a shell,no shell command is constructed from external data anywhere in the tree,arbitrary command execution,the runtime never spawns a shell with interpolated data,n/a,n/a,none,none,implemented,packages/pipeline/src/cycle.ts
S016,security,SSRF from token metadata URLs,a metadata URI pointing at an internal address,metadata URIs are never fetched,internal network probing from our host,no code path dereferences a token-supplied URL,n/a,n/a,none,none,implemented,packages/pipeline/src/cycle.ts
S017,security,alert channel leaks a secret,an alert body includes configuration,no alert channel is configured,disclosure to a third-party service,nothing is sent off host,n/a,n/a,none,none,not_applicable_current_architecture,packages/observability/src/log.ts
S018,security,prompt injection from external content,token name or description crafted as an instruction,no model reads any external content at runtime,the system is steered by an attacker,no LLM exists in the hot path,n/a,n/a,none,none,implemented,packages/pipeline/src/cycle.ts
S019,security,live mode started without an explicit acknowledgement,operator runs live,evaluateGates requires an acknowledgement file outside the repository,real funds committed without a deliberate human act,the gate can never all-pass without the file,refuse to start,n/a,none,tests/e2e/observe-cycle.test.ts,implemented,packages/execution/src/gates.ts
S020,security,promotion on insufficient evidence,operator promotes to canary early,gates name each missing observation with what was seen and what was required,capital committed on an untested strategy,every failing gate carries both observed and required,refuse to start,n/a,none,tests/e2e/observe-cycle.test.ts,implemented,packages/execution/src/gates.ts
S021,security,risk caps weakened without review,a configuration edit,doctor checks that a single entry cannot exceed the total exposure cap,unbounded loss,cross-field validation at load,refuse to start,n/a,none,none,partial,scripts/doctor.ts
S022,security,gate evidence claims more than it measures,a gate advertises a property it does not check,identified by inspection - the replay corpus gate counts snapshots and does not persist a replay result,an operator trusts a verification that never ran,gates must measure what they name,n/a,n/a,none,none,designed_not_implemented,packages/execution/src/gates.ts
Q029,quant,exit reason conflates cost drift with liquidity collapse,paper.ts:360 passes Math.abs(priceImpactPct) so a -9914bps pool collapse and a +519bps cost drift both record exit_cost_exploded,not detected - both events produce an identical reason string,post-hoc analysis attributes total losses to a miscalibrated cost cap and tunes the wrong parameter,none - the abs is applied before the rule sees the value,separate the signed collapse case into its own exit reason,n/a,share of exits whose recorded reason matches the event that caused them,tests/unit/exits.test.ts,partial,apps/engine/src/paper.ts
Q030,quant,favourable price impact triggers an exit,the same Math.abs at paper.ts:360 means a large favourable impact reading exceeds maxExitImpactBps and forces a sale,not detected,positions closed for moving in our favour,none,preserve the sign of priceImpactPct at the call site,n/a,count of exits where impact was favourable and the position was still closed,tests/unit/exits.test.ts,designed_not_implemented,apps/engine/src/paper.ts
O028,ops,a configured secret is loaded and consumed by nothing,HELIUS_API_KEY was read by loadSecrets and never used by any caller,found by grepping the symbol - doctor reported the key as present so nothing surfaced it,an operator believes on-chain reads are configured while no RPC endpoint exists; A5 top-holder measurement silently never runs,loadSecrets derives rpcHttp from the key when SOLANA_RPC_HTTP is unset and records which source won,n/a,n/a,none,tests/unit/secrets.test.ts,implemented,packages/domain/src/config.ts
O029,ops,a rate bucket configured at exactly the documented ceiling,jupiter_main withKeyRequestsPerSecond was 1.0 against a documented 1 rps free keyed tier,never exercised - the keyed branch was unreachable until a key existed,sustained 429s and a provider-side ban rather than a slowdown; breaches the strictly-under rule this file states in _meta,lowered to 0.8 preserving the 0.8x headroom ratio the keyless bucket already used,n/a,n/a,none,none,implemented,config/source-limits.json
O030,ops,a live credential embedded in a URL reaches a log,Helius authenticates by query parameter so the key is part of the endpoint string,scrubSecrets api-key rule plus the helius_url_with_key secretscan rule,the RPC key is disclosed in a log file or a committed artefact,the URL is assembled in one function and never written to disk; redaction asserted against an interpolated error message,rotate the key,n/a,none,tests/unit/secrets.test.ts,implemented,packages/observability/src/log.ts
O031,ops,a secrets file is documented and guarded by every mechanism except the one that reads it,.env was documented in ENVIRONMENT.md git-ignored secretscan-guarded and doctor-checked while no code path ever read it,found only when a correctly-populated .env produced a doctor run reporting no keys,every secret must arrive as an ambient variable while a populated .env sits inert and every surrounding mechanism reports it as configured,loadSecrets calls loadDotEnvOnce so every entry point loads it; ambient variables still win and a malformed line is a hard error,n/a,n/a,none,tests/unit/dotenv.test.ts,implemented,packages/domain/src/dotenv.ts
O032,strategy,an economic outcome derived from an undocumented provider sign convention,decideExit classified exits on Math.abs(priceImpactPct) so a favourable +0.0911 became 911bps of exit cost,found by reading stored quotes after 8 of the first 10 paper positions closed under one label,a winning position up 2.07% was ejected after 21s while a genuine collapse to 13 lamports got the same label; the aggregate over that label describes nothing,classification uses executable sell output against entry cost; priceImpactPct is stored raw and signed as evidence and never defines an outcome,reclassify history via the migration 5 backfill,n/a,exit outcome distribution by category,tests/unit/exitoutcome.test.ts,implemented,packages/domain/src/exitoutcome.ts
O033,strategy,a profit-taking rule that no input can satisfy,"decideExit measured gain with lossBps(mark, cost) which is POSITIVE when the position is winning then required -up >= takeProfitBps",found by writing a boundary test for take_profit; the expectation failed and the rule not the test turned out to be wrong,take_profit was unreachable for every input across the entire life of the system; winners could only leave via the trailing stop after giving back 3000bps. Position 39bb459b was up more than 6000bps at mark 13 and exited at mark 19 for -0.007073668 SOL; the counterfactual over its own stored marks closes it at +0.033411329 SOL,"gain is measured against cost with lossBps(cost, mark); a reachability test asserts some input produces take_profit and two boundary tests pin the direction",reclassification is not needed - no historical row claimed a take profit,n/a,count of take_profit exits over closed positions; a run of 50+ closed positions with zero is a defect signal,tests/unit/exits.test.ts,implemented,packages/strategy/src/exits.ts
O034,testing,unit tests silently read the operator's real .env and assert about the developer's disk,closing O031 made loadSecrets call loadDotEnvOnce so tests/unit/secrets.test.ts inherited a live HELIUS_API_KEY,the suite went green on a clean checkout and red on any configured machine,a test that only passes before the system is configured reports the state of a developer's disk rather than the state of the code; its failure diff also printed a real secret,tests/setup.ts calls suppressDotEnvForTests() so the file is never read during a test run and the secret never enters process.env,n/a,n/a,none,tests/unit/secrets.test.ts,implemented,tests/setup.ts
O035,research,replay reports success-shaped output while verifying nothing after a strategy version bump,bumping strategyVersion to v0.3.0 made all 2000 stored snapshots skip as other-version; divergent count 0 with nothing replayed,noticed because the exit code was the only difference between that run and a real pass,the one moment a bump most needs verification is the moment verification switches itself off; an unnoticed entry-path regression would ship,--as-version= replays older snapshots against current code; 2000 of 2000 reproduced exactly across the v0.2.0 to v0.3.0 bump,n/a,n/a,replayed count must be non-zero for a replay run to be treated as evidence,tests/replay/determinism.test.ts,implemented,packages/research/src/replay-cli.ts
O036,strategy,positions marked against the slippage floor rather than the router's expected output,paper.ts marked at otherAmountThreshold - priorityFee; otherAmountThreshold is derived from our own slippageBps and is not an observation,found while writing position_marks and needing to say what a mark actually measures,"every position looked worse by exactly slippageBps at every mark, biasing the stop loss and trailing stop toward early exits and making the mark series unusable as liquidity evidence",marks record outAmount as the value and otherAmountThreshold alongside it as a separate column,the 150 backfilled marks were reconstructed from stored quotes using outAmount,n/a,exit_value_ratio distribution should not cluster just under 1 minus slippageBps,tests/unit/exits.test.ts,implemented,apps/engine/src/paper.ts
O037,strategy,"the daily loss cap is permanent, not daily, and halts the engine indefinitely",Ledger.dayStartUtcMs was assigned once in restoreLedger and read by nothing; realizedTodayLamports therefore accumulated from process start and never released at midnight UTC,found by asking why pnpm status showed 145 eligible candidates and 0 open positions; sizePosition was refusing every entry with daily_loss_cap against -0.248 SOL realised on earlier days,"paper mode stopped opening positions for the entire first measurement window and continued to look healthy - it screened, scored and logged normally. Zero closed trades were added to the sample while the process reported itself live. A cap that never releases is indistinguishable from a hang",rollDayIfNeeded is called every cycle before any entry work and recomputes realizedTodayLamports from the database for the new UTC day; the cap value itself is unchanged,"no data to repair - no trade was taken or mispriced, the engine simply refused to act",n/a,"an engine reporting eligible candidates with zero open positions for more than one discovery interval, while below maxSimultaneousPositions, is a defect signal",tests/unit/ledger.test.ts,implemented,apps/engine/src/ledger.ts
O038,storage,"realised P&L summed through a double, defeating the reason the column is TEXT",restoreLedger used SUM(CAST(realized_lamports AS INTEGER)) and read the result as a JS number before passing it to BigInt(),found while extracting the ledger helpers into a testable module,"amounts above 2^53 silently lose precision and any non-integral sum makes the subsequent BigInt() throw. Paper NAV is far below that today, so this had not yet produced a wrong number - it was a latent violation of the bigint invariant sitting in the NAV path",sumRealized selects the TEXT values and accumulates in bigint; a test sums 2^53+1 across two rows and asserts the double answer is wrong,n/a - no stored value was affected,n/a,none; the property is enforced by test rather than by monitoring,tests/unit/ledger.test.ts,implemented,apps/engine/src/ledger.ts
O039,observability,the resolution of the entire exit corpus was set by the discovery budget,"the paper loop had one interval; open positions were re-quoted only when discovery ran, so the mark cadence was discoveryIntervalMs - about 31s as measured",found in P1 while attributing losses: every one of the four liquidity collapses did all of its damage inside a single mark interval,"the corpus cannot distinguish a one-block rug from a 25-second drain, so it cannot say whether any prospective exit signal existed. This is an instrument limitation and it blocks the central question of P2, not a market finding",markIntervalMs is a separate config field defaulting to 10s; the loop ticks at the mark cadence and discovery gates itself on its own longer interval. Paper maxSimultaneousPositions is 1 during the measurement phase so exit monitoring is never starved by candidate scanning,the 150 existing marks keep their ~31s spacing and are labelled as such; they are not reinterpreted at the finer resolution,n/a,observed spacing between consecutive position_marks rows exceeding 2x markIntervalMs,tests/unit/ledger.test.ts,partial,apps/engine/src/paper.ts
O040,strategy,three declared risk halts are enforced by nothing,"maxAggregatePlannedLossPct, dailyLossHaltPct and weeklyLossHaltPct appear in RiskConfigSchema and in SAFER_WHEN_LOWER and are read by no enforcement code; drawdownHaltPct was the fourth until this change",found by grepping the four risk-halt field names across the tree while investigating why paper mode had stopped entering positions,"the tree carried machinery to refuse any override that loosened four caps, three of which do not exist. An operator reading config/live.json would reasonably believe a 1.5 percent daily loss halt and a 4 percent weekly halt were active. Neither is. In paper this costs nothing because paper cannot spend; in canary or live it is a false guarantee about real money",drawdownHaltPct is now enforced in sizePosition as the drawdown_halt refusal. The remaining three are a named blocker on canary promotion rather than an open question - see docs/READINESS.md,no data to repair; no trade was mispriced. The halts simply never fired,n/a,"a config field name that appears in the schema but in no other module is the signal; the same class produced O028, O031, O037 and the old maxExitImpactBps knob",tests/unit/ledger.test.ts,partial,packages/strategy/src/portfolio.ts
O041,config,a documented safety guarantee about risk overrides that no code provides,"the header comment in config.ts stated that assertNotLoosened enforces at load time that caps can be tightened but never loosened; assertNotLoosened is exported and never called, and loadConfig merges no env or CLI values into risk at all",found by grepping for the caller of assertNotLoosened while deciding whether editing a risk value in config/paper.json would be refused,"harmless today precisely because the override path it guards does not exist. It becomes a live defect the moment anyone adds one, because the comment tells that person the check is already wired",the comment now says the rule is enforced by the absence of an override path and that any change adding one must call assertNotLoosened in the same commit,n/a,n/a,none; caught by review,none yet - a test asserting that loadConfig ignores a risk env var would pin it,partial,packages/domain/src/config.ts
O042,research,decisions were not re-derivable from their snapshots because an input the gates saw was never written to the row,"finalizeScreen evaluated the concentration gate against an on-chain holder distribution and stored none of it; replayOne passed null and carried a comment claiming the caller excluded rows that had a measurement, while replayAll filtered on strategy_version and nothing else","replay at v0.3.0 reported 28 divergent snapshots out of 1012 - opportunityScore and softRiskScore on all 28, hardVetoes on 4 where a stored concentrated_ownership veto could not be reproduced. Invisible until then because the v0.3.0 bump had made replay skip every row (O035), and invisible before that because concentration was not yet being measured","violates the core invariant that every decision is re-derivable from its snapshot. Any backtest or counterfactual built on those rows would have silently used a different soft-risk mean than the live decision did, and 4 rows would have lost a hard veto entirely. It also made the replay exit code meaningless as a P8 gate","the measurement is written into rawInputs.concentration. A MISSING key means the row predates capture and is now counted as unverifiable and reported by the CLI, never as a pass; a null value means measured-and-unavailable and replays exactly. replayable() fails closed on an unparseable row so corruption is still reported as a divergence","the 34 pre-capture rows cannot be repaired - the data was never collected. They are excluded and counted, not reinterpreted",n/a,"replay unverifiable count must be zero for any corpus used as evidence; a nonzero value is a capture gap, not a rounding detail",tests/replay/determinism.test.ts,implemented,packages/strategy/src/screen.ts
"S040","simulation","a simulation setup that does not describe the leg","simulateObservation funds every request with SOL whatever the transaction spends","43 of 43 sells fail with an identical error at an identical instruction index across every venue and size","every sell is recorded as a route failure; the exit half of every round trip appears impossible","validateSetup() refuses a zero amount, a sell with no token program, a sell whose input is SOL, and a same-asset leg BEFORE the request is sent","the window is labelled INSTRUMENT_DEVELOPMENT and excluded from every aggregate","no retry: an invalid setup is a caller defect and running it records a caller defect as a simulation outcome","health_events kind=simulation_setup_invalid severity=critical","tests/unit/simulate-observation.test.ts","implemented","apps/engine/src/simulate-observation.ts"
"S041","simulation","runtime success read as economic success","a Solana runtime returns no transaction error for a swap that delivered nothing","SIMULATED_EFFECT_OK refuses on a zero output delta; the daemon bounds check agrees independently","a swap that charged the fee and delivered nothing is booked as a working leg and a filled position","four separate checks composed: RUNTIME_OK EFFECT_OK FEE_DECOMPOSITION_OK ACCOUNT_COVERAGE_OK","legIsExecutable refuses the leg; the position is not opened","none: the refusal is the outcome","simulation_jobs.effect_refusals is non-null","tests/unit/effect.test.ts","implemented","packages/simulator/src/effect.ts"
"S042","measurement","a gate that can never pass","the unexpected-movement check refused whenever any account gained lamports, which every AMM swap does","zero of ten valid-window jobs could pass regardless of what the trade did","the composite verdict is unreachable, so everything downstream routes around it","the check refuses only against a stated model of expected recipients; the movement is measured and persisted either way","narrowed with a reason; the other three checks still decide the verdict","none","artifacts/valid-window-status.json shows the refusal mix","tests/unit/effect.test.ts","implemented","packages/simulator/src/effect.ts"
"S043","risk","two loss models inside one aggregate cap","a proposed trade is charged the catastrophic floor while existing positions are charged the nominal stop","an existing and an identical proposed position produce different planned-loss numbers","the aggregate cap reads the open book as four times safer than the model says it is","both sides call plannedLossFractionBps()","the cap binds at the level it was configured to bind at","none","compare plannedLossLamports against notional times the floor","tests/unit/accounting-unified.test.ts","implemented","apps/engine/src/paper.ts"
